acl 2.3.1-2
rust 1:1.63.0-1
sbc 2.0-1
scrot 1.7-1
sdl2 2.24.0-1
sdl2_image 2.6.2-1
sed 4.8-1
semver 7.3.7-1
serd 0.30.14-1
shaderc 2022.1-4
shadow 4.11.1-1
shared-mime-info 2.0+155+gf4e7cbc-1
slang 2.3.3-1
snappy 1.1.9-2
sord 0.16.12-3
soundtouch 2.3.1-2
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.1-1
sqlite 3.39.3-1
sratom 0.6.12-1
srt 1.5.0-1
startup-notification 0.12-7
sudo 1.9.11.p3-1
suil 0.10.16-3
suitesparse 5.13.0-1
svt-av1 1.2.1-1
sxhkd 0.6.2-2
sysfsutils 2.1.1-1
systemd 251.4-1
systemd-libs 251.4-1
systemd-sysvcompat 251.4-1
tar 1.34-1
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
timeshift 22.06.5-1
tinyxml 2.6.2-9
tpm2-tss 3.2.0-1
tracker3 3.3.3-1
tree 2.0.2-2
tslib 1.22-1
ttf-liberation 2.1.5-1
twolame 0.4.0-2
typescript 4.8.2-1
tzdata 2022c-1
uchardet 0.0.7-1
udisks2 2.9.4-1
unzip 6.0-19
uthash 2.3.0-1
util-linux 2.38.1-1
util-linux-libs 2.38.1-1
v4l-utils 1.22.1-1
vala 0.56.3-1
vamp-plugin-sdk 2.10.0-1
vid.stab 1.1-3
vmaf 2.3.1-1
volume_key 0.3.12-7
vte-common 0.68.0-2
vte3 0.68.0-2
vulkan-headers 1:1.3.221-1
vulkan-icd-loader 1.3.221-1
vulkan-radeon 22.1.7-1
vulkan-tools 1.3.217-1
wayland 1.21.0-1
webrtc-audio-processing 0.3.1-3
wget 1.21.3-1
which 2.21-5
words 2.1-6
wpa_supplicant 2:2.10-5
wxwidgets-common 3.2.0-6
wxwidgets-gtk3 3.2.0-6
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xapp 2.2.14-1
xcb-proto 1.15.2-1
xcb-util 0.4.0-4
xcb-util-cursor 0.1.3-4
xcb-util-image 0.4.0-4
xcb-util-keysyms 0.4.0-4
xcb-util-renderutil 0.3.9-4
xcb-util-wm 0.4.1-4
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.4-1
xdg-desktop-portal 1.15.0-1
xdg-desktop-portal-gnome 42.3-1
xdg-desktop-portal-gtk 1.14.0-1
xdg-utils 1.1.3+21+g1a58bc2-1
xf86-input-libinput 1.2.1-1
xf86-video-amdgpu 22.0.0-1
xf86-video-ati 1:19.1.0.r15.g7a6a34af-1
xfsprogs 5.19.0-1
xkeyboard-config 2.36+89+g382c5feb-1
xorg-fonts-encodings 1.0.6-1
xorg-server 21.1.4-1
xorg-server-common 21.1.4-1
xorg-setxkbmap 1.3.3-1
xorg-xauth 1.1.2-1
xorg-xhost 1.0.8-3
xorg-xinit 1.4.1-3
xorg-xkbcomp 1.4.5-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xset 1.2.4-3
xorgproto 2022.2-1
xvidcore 1.3.7-2
xxhash 0.8.1-2
xz 5.2.6-1
yaml-cpp 0.7.0-2
yarn 1.22.19-1
yay 11.3.0-1
youtube-dl-gui-git 1.8.3.r29.g72dbc41-1
yq 3.1.0-1
zeromq 4.3.4-2
zimg 3.0.4-1
zip 3.0-10
zlib 1:1.2.12-2
zram-generator 1.1.2-1
zstd 1.5.2-7
